title,description,price,category,images,region,status,seller_id
Нежный борщ,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,725.5,Закуски,"{""https://picsum.photos/seed/1a/800/600"",""https://picsum.photos/seed/1b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский пирог,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1141.52,Выпечка,"{""https://picsum.photos/seed/2a/800/600"",""https://picsum.photos/seed/2b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный котлеты,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1564.74,Полуфабрикаты,"{""https://picsum.photos/seed/3a/800/600"",""https://picsum.photos/seed/3b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский лаваш,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1205.64,Супы,"{""https://picsum.photos/seed/4a/800/600"",""https://picsum.photos/seed/4b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный лаваш,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,803.0,Горячие блюда,"{""https://picsum.photos/seed/5a/800/600"",""https://picsum.photos/seed/5b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный пирог,Готовим в день заказа. Можно разогреть и подавать сразу.,377.28,Салаты,"{""https://picsum.photos/seed/6a/800/600"",""https://picsum.photos/seed/6b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный плов,Готовим в день заказа. Можно разогреть и подавать сразу.,1410.14,Завтраки,"{""https://picsum.photos/seed/7a/800/600"",""https://picsum.photos/seed/7b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский торт,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,2230.81,Салаты,"{""https://picsum.photos/seed/8a/800/600"",""https://picsum.photos/seed/8b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный пирог,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",1703.97,Супы,"{""https://picsum.photos/seed/9a/800/600"",""https://picsum.photos/seed/9b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный чизкейк,Готовим в день заказа. Можно разогреть и подавать сразу.,803.24,Салаты,"{""https://picsum.photos/seed/10a/800/600"",""https://picsum.photos/seed/10b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный вареники,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1724.91,Десерты,"{""https://picsum.photos/seed/11a/800/600"",""https://picsum.photos/seed/11b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный лазанья,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,534.0,Завтраки,"{""https://picsum.photos/seed/12a/800/600"",""https://picsum.photos/seed/12b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский котлеты,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,2130.7,Выпечка,"{""https://picsum.photos/seed/13a/800/600"",""https://picsum.photos/seed/13b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний панна-котта,Готовим в день заказа. Можно разогреть и подавать сразу.,779.19,Горячие блюда,"{""https://picsum.photos/seed/14a/800/600"",""https://picsum.photos/seed/14b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный пельмени,Готовим в день заказа. Можно разогреть и подавать сразу.,1079.73,Напитки,"{""https://picsum.photos/seed/15a/800/600"",""https://picsum.photos/seed/15b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный салат,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1900.72,Полуфабрикаты,"{""https://picsum.photos/seed/16a/800/600"",""https://picsum.photos/seed/16b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сливочный лаваш,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1088.59,Горячие блюда,"{""https://picsum.photos/seed/17a/800/600"",""https://picsum.photos/seed/17b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский морс,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",1926.09,Десерты,"{""https://picsum.photos/seed/18a/800/600"",""https://picsum.photos/seed/18b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный лаваш,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,299.29,Завтраки,"{""https://picsum.photos/seed/19a/800/600"",""https://picsum.photos/seed/19b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный гуляш,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,2432.03,Выпечка,"{""https://picsum.photos/seed/20a/800/600"",""https://picsum.photos/seed/20b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский суп,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,412.15,Завтраки,"{""https://picsum.photos/seed/21a/800/600"",""https://picsum.photos/seed/21b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный борщ,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,2433.94,Закуски,"{""https://picsum.photos/seed/22a/800/600"",""https://picsum.photos/seed/22b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный торт,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1581.08,Закуски,"{""https://picsum.photos/seed/23a/800/600"",""https://picsum.photos/seed/23b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный лазанья,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,2308.46,Заготовки,"{""https://picsum.photos/seed/24a/800/600"",""https://picsum.photos/seed/24b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный борщ,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2333.38,Супы,"{""https://picsum.photos/seed/25a/800/600"",""https://picsum.photos/seed/25b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний котлеты,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,2375.33,Десерты,"{""https://picsum.photos/seed/26a/800/600"",""https://picsum.photos/seed/26b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный лазанья,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,451.72,Напитки,"{""https://picsum.photos/seed/27a/800/600"",""https://picsum.photos/seed/27b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный суп,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,2200.22,Завтраки,"{""https://picsum.photos/seed/28a/800/600"",""https://picsum.photos/seed/28b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский пельмени,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,1087.63,Салаты,"{""https://picsum.photos/seed/29a/800/600"",""https://picsum.photos/seed/29b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский компот,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",732.58,Десерты,"{""https://picsum.photos/seed/30a/800/600"",""https://picsum.photos/seed/30b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний ризотто,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,690.77,Горячие блюда,"{""https://picsum.photos/seed/31a/800/600"",""https://picsum.photos/seed/31b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный плов,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,308.39,Выпечка,"{""https://picsum.photos/seed/32a/800/600"",""https://picsum.photos/seed/32b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный гуляш,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,804.42,Напитки,"{""https://picsum.photos/seed/33a/800/600"",""https://picsum.photos/seed/33b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский салат,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1504.1,Горячие блюда,"{""https://picsum.photos/seed/34a/800/600"",""https://picsum.photos/seed/34b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический пельмени,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",377.79,Завтраки,"{""https://picsum.photos/seed/35a/800/600"",""https://picsum.photos/seed/35b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический лаваш,Готовим в день заказа. Можно разогреть и подавать сразу.,2180.02,Выпечка,"{""https://picsum.photos/seed/36a/800/600"",""https://picsum.photos/seed/36b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний оладьи,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,2031.39,Десерты,"{""https://picsum.photos/seed/37a/800/600"",""https://picsum.photos/seed/37b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный пельмени,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1204.24,Завтраки,"{""https://picsum.photos/seed/38a/800/600"",""https://picsum.photos/seed/38b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный компот,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,2205.04,Десерты,"{""https://picsum.photos/seed/39a/800/600"",""https://picsum.photos/seed/39b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский чизкейк,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",1682.54,Полуфабрикаты,"{""https://picsum.photos/seed/40a/800/600"",""https://picsum.photos/seed/40b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный котлеты,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1105.07,Напитки,"{""https://picsum.photos/seed/41a/800/600"",""https://picsum.photos/seed/41b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический плов,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1040.59,Завтраки,"{""https://picsum.photos/seed/42a/800/600"",""https://picsum.photos/seed/42b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный торт,Готовим в день заказа. Можно разогреть и подавать сразу.,1786.99,Полуфабрикаты,"{""https://picsum.photos/seed/43a/800/600"",""https://picsum.photos/seed/43b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный пельмени,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,661.6,Выпечка,"{""https://picsum.photos/seed/44a/800/600"",""https://picsum.photos/seed/44b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский плов,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,284.34,Заготовки,"{""https://picsum.photos/seed/45a/800/600"",""https://picsum.photos/seed/45b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский гуляш,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,283.67,Полуфабрикаты,"{""https://picsum.photos/seed/46a/800/600"",""https://picsum.photos/seed/46b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный пирог,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,309.71,Горячие блюда,"{""https://picsum.photos/seed/47a/800/600"",""https://picsum.photos/seed/47b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный ризотто,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1510.46,Выпечка,"{""https://picsum.photos/seed/48a/800/600"",""https://picsum.photos/seed/48b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный лаваш,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,1478.28,Салаты,"{""https://picsum.photos/seed/49a/800/600"",""https://picsum.photos/seed/49b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный панна-котта,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,774.19,Закуски,"{""https://picsum.photos/seed/50a/800/600"",""https://picsum.photos/seed/50b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный панна-котта,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",171.89,Заготовки,"{""https://picsum.photos/seed/51a/800/600"",""https://picsum.photos/seed/51b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный пирог,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,650.91,Супы,"{""https://picsum.photos/seed/52a/800/600"",""https://picsum.photos/seed/52b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный пирог,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1018.39,Закуски,"{""https://picsum.photos/seed/53a/800/600"",""https://picsum.photos/seed/53b/800/600""}",Ростов-на-Дону,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский торт,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,2462.06,Полуфабрикаты,"{""https://picsum.photos/seed/54a/800/600"",""https://picsum.photos/seed/54b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский торт,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2356.49,Закуски,"{""https://picsum.photos/seed/55a/800/600"",""https://picsum.photos/seed/55b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный чизкейк,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,515.3,Супы,"{""https://picsum.photos/seed/56a/800/600"",""https://picsum.photos/seed/56b/800/600""}",Воронеж,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный панна-котта,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1765.62,Супы,"{""https://picsum.photos/seed/57a/800/600"",""https://picsum.photos/seed/57b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный суп,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",366.9,Завтраки,"{""https://picsum.photos/seed/58a/800/600"",""https://picsum.photos/seed/58b/800/600""}",Екатеринбург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний борщ,Нежная текстура и яркий вкус. Подходит для праздников и повседневных обедов.,1962.13,Супы,"{""https://picsum.photos/seed/59a/800/600"",""https://picsum.photos/seed/59b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Фирменный лазанья,Готовим в день заказа. Можно разогреть и подавать сразу.,1468.13,Десерты,"{""https://picsum.photos/seed/60a/800/600"",""https://picsum.photos/seed/60b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный лазанья,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2111.3,Заготовки,"{""https://picsum.photos/seed/61a/800/600"",""https://picsum.photos/seed/61b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный лаваш,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,248.3,Салаты,"{""https://picsum.photos/seed/62a/800/600"",""https://picsum.photos/seed/62b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный пельмени,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,1717.29,Салаты,"{""https://picsum.photos/seed/63a/800/600"",""https://picsum.photos/seed/63b/800/600""}",Краснодар,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Классический хачапури,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,2325.54,Горячие блюда,"{""https://picsum.photos/seed/64a/800/600"",""https://picsum.photos/seed/64b/800/600""}",Казань,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Ароматный лаваш,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",571.5,Салаты,"{""https://picsum.photos/seed/65a/800/600"",""https://picsum.photos/seed/65b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сытный суп,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,2000.33,Десерты,"{""https://picsum.photos/seed/66a/800/600"",""https://picsum.photos/seed/66b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Домашний морс,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,619.0,Напитки,"{""https://picsum.photos/seed/67a/800/600"",""https://picsum.photos/seed/67b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный котлеты,Традиционный рецепт и насыщенный вкус. Доставка в удобное время.,205.61,Горячие блюда,"{""https://picsum.photos/seed/68a/800/600"",""https://picsum.photos/seed/68b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Праздничный суп,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",2422.19,Супы,"{""https://picsum.photos/seed/69a/800/600"",""https://picsum.photos/seed/69b/800/600""}",Нижний Новгород,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Деревенский оладьи,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,928.2,Выпечка,"{""https://picsum.photos/seed/70a/800/600"",""https://picsum.photos/seed/70b/800/600""}",Санкт-Петербург,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный сырники,Сбалансированный состав и натуральные продукты. Порция на 2-3 человек.,2411.96,Супы,"{""https://picsum.photos/seed/71a/800/600"",""https://picsum.photos/seed/71b/800/600""}",Москва,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Нежный хачапури,Готовим в день заказа. Можно разогреть и подавать сразу.,962.36,Салаты,"{""https://picsum.photos/seed/72a/800/600"",""https://picsum.photos/seed/72b/800/600""}",Самара,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Сливочный гуляш,"Приготовлено из свежих ингредиентов, без консервантов. Отлично подходит для семейного ужина.",1055.21,Заготовки,"{""https://picsum.photos/seed/73a/800/600"",""https://picsum.photos/seed/73b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
Полезный плов,Готовим в день заказа. Можно разогреть и подавать сразу.,153.97,Полуфабрикаты,"{""https://picsum.photos/seed/74a/800/600"",""https://picsum.photos/seed/74b/800/600""}",Новосибирск,APPROVED,fd841962-a541-4ecf-9c3b-51d429eb3b4a
